ProjectName,RelativePath,ProductArea,OutputType,TargetFramework,DependsOnCount,UsedByCount_WithinRepo,PackageReferenceCount
FTService.Extensions,FileTransferService\Source\Service Core\FTService.Extensions\FTService.Extensions.csproj,FileTransferService,Library,v3.5,2,0,0
MedStreaming.API.BL,Golden\MedStreaming.API\MedStreaming.API.BL\MedStreaming.API.BL.csproj,Golden,Library,v4.5.1,5,1,0
MedStreaming.API.ConsoleTest,Golden\MedStreaming.API\MedStreaming.API.ConsoleTest\MedStreaming.API.ConsoleTest.csproj,Golden,Exe,v4.5.2,3,0,0
MedStreaming.API.DataAccess,Golden\MedStreaming.API\MedStreaming.API.DataAccess\MedStreaming.API.DataAccess.csproj,Golden,Library,v4.5.1,2,2,0
MedStreaming.API.Model,Golden\MedStreaming.API\MedStreaming.API.Model\MedStreaming.API.Model.csproj,Golden,Library,v4.5.1,1,5,0
MedStreaming.API.Validation,Golden\MedStreaming.API\MedStreaming.API.Validation\MedStreaming.API.Validation.csproj,Golden,Library,v4.5.1,1,3,0
MedStreaming.PatientNavigator,Golden\MedStreaming.PatientNavigator\MedStreaming.PatientNavigator\MedStreaming.PatientNavigator.csproj,Golden,Library,v4.6,0,0,0
MedStreaming.Spine,Golden\MedStreaming.Spine\MedStreaming.Spine\MedStreaming.Spine.csproj,Golden,Library,v4.5,0,6,0
MedStreaming.Spine.Data,Golden\MedStreaming.Spine\MedStreaming.Spine.Data\MedStreaming.Spine.Data.csproj,Golden,Library,v4.5,2,1,0
MedStreaming.Spine.Logger,Golden\MedStreaming.Spine\MedStreaming.Spine.Logger\MedStreaming.Spine.Logger.csproj,Golden,Library,v4.5,0,0,0
MedStreaming.Spine.Model,Golden\MedStreaming.Spine\MedStreaming.Spine.Model\MedStreaming.Spine.Model.csproj,Golden,Library,v4.0,0,2,0
MedStreaming.Spine.Security,Golden\MedStreaming.Spine\MedStreaming.Spine.Security\MedStreaming.Spine.Security.csproj,Golden,Library,v4.5,0,1,0
MedStreaming.Spine.ServiceModel,Golden\MedStreaming.Spine\MedStreaming.Spine.ServiceModel\MedStreaming.Spine.ServiceModel.csproj,Golden,Library,v4.5,1,0,0
MedStreaming.Spine.Testing,Golden\MedStreaming.Spine\MedStreaming.Spine.Testing\MedStreaming.Spine.Testing.csproj,Golden,Library,v4.5,0,0,0
MedStreaming.TaskManager.DataAccess,Golden\MedStreaming.API\MedStreaming.TaskManager.DataAccess\MedStreaming.TaskManager.DataAccess.csproj,Golden,Library,v4.5.1,4,0,0
MedStreaming.ValidationEngine,Golden\MedStreaming.API\MedStreaming.ValidationEngine\MedStreaming.ValidationEngine.csproj,Golden,Library,v4.5.1,3,1,0
DCMTKWrapper,Imaging_Projects\DicomViewer\DCMTKWrapper\DCMTKWrapper.csproj,Imaging_Projects,Library,v4.8,0,1,0
DICOM,Imaging_Projects\DicomViewer\DICOMData\DICOM.csproj,Imaging_Projects,Library,v4.0,1,1,0
DICOMToolkitWrapper,Imaging_Projects\DicomViewer\DCMTKWrapper\DICOMToolkitWrapper.csproj,Imaging_Projects,Library,v4.0,0,1,0
DicomViewer,Imaging_Projects\DicomViewer\DicomViewer\DicomViewer.csproj,Imaging_Projects,WinExe,v4.0,1,0,0
Viewer,Imaging_Projects\DicomViewer\Viewer\Viewer.csproj,Imaging_Projects,WinExe,v4.8,1,0,0
MedStreaming.UnitTestProject,MedStreaming.AbstractorApp\MedStreaming.UnitTestProject\MedStreaming.UnitTestProject.csproj,MedStreaming.AbstractorApp,Library,v4.6.1,1,0,0
ClinicalApp,MedStreaming.Analytics\ProtoTypes\WebMDX\Plugins\ClinicalApp\ClinicalApp.csproj,MedStreaming.Analytics,Library,v4.0,1,0,0
CubeProcessor.CubeProcessorTask,MedStreaming.Analytics\CubeProcessor\CubeProcessor.CubeProcessorTask\CubeProcessor.CubeProcessorTask.csproj,MedStreaming.Analytics,Exe,v4.0,0,0,0
CustomAction2,MedStreaming.Analytics\setup\CustomAction_RunningInstallPs1\CustomAction2\CustomAction2.csproj,MedStreaming.Analytics,Library,v4.0,0,0,0
DataAccess,MedStreaming.Analytics\ProtoTypes\XiImporter\XiImporter\DataAccess\DataAccess.csproj,MedStreaming.Analytics,Library,v4.5,2,1,0
DataAnalytics,MedStreaming.Analytics\DataAnalytics\DataAnalytics\DataAnalytics.csproj,MedStreaming.Analytics,Library,v4.0,1,0,0
DataAnalytics.DataAccess,MedStreaming.Analytics\DataAnalytics\DataAnalytics.DataAccess\DataAnalytics.DataAccess.csproj,MedStreaming.Analytics,Library,v4.0,0,1,0
DataChartMigration,MedStreaming.Analytics\DataMigration\DataChartMigration\DataChartMigration\DataChartMigration\DataChartMigration.csproj,MedStreaming.Analytics,WinExe,v4.0,0,0,0
DataMigration,MedStreaming.Analytics\DataMigration\DataMigration.csproj,MedStreaming.Analytics,WinExe,v4.0,0,0,0
DataValidationTool,MedStreaming.Analytics\M2S\DataValidationTool\DataValidationTool\DataValidationTool\DataValidationTool.csproj,MedStreaming.Analytics,WinExe,v4.5,0,0,0
DemoApi,MedStreaming.Analytics\ProtoTypes\GridAngular2Syncfusion\DemoApi\DemoApi\DemoApi.csproj,MedStreaming.Analytics,Library,v4.5.2,0,0,0
DomainModel,MedStreaming.Analytics\ProtoTypes\XiImporter\XiImporter\DomainModel\DomainModel.csproj,MedStreaming.Analytics,Library,v4.5,1,2,0
ExcelProcessing,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\ExcelProcessing\ExcelProcessing.csproj,MedStreaming.Analytics,Library,v4.0,0,0,0
Gallery-ng-cli,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\Gallery-ng-cli\Gallery-ng-cli.csproj,MedStreaming.Analytics,Library,v4.5,0,0,0
GalleryCli,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\GalleryCli\GalleryCli.csproj,MedStreaming.Analytics,Library,v4.5,0,0,0
GenXmla,MedStreaming.Analytics\GenXmla\GenXmla.csproj,MedStreaming.Analytics,Exe,v4.0,0,0,0
HajApp,MedStreaming.Analytics\ProtoTypes\WebMDX\Plugins\HajApp\HajApp.csproj,MedStreaming.Analytics,Library,v4.0,1,0,0
ImagesApp,MedStreaming.Analytics\ProtoTypes\WebMDX\Plugins\ImagesApp\ImagesApp.csproj,MedStreaming.Analytics,Library,v4.0,1,0,0
InterventionApp,MedStreaming.Analytics\ProtoTypes\WebMDX\Plugins\InterventionApp\InterventionApp.csproj,MedStreaming.Analytics,Library,v4.0,1,0,0
